index,Z,Symbol,Element,K_alpha_1,K_beta_1,L_alpha_1,L_beta_1,M_alpha_1,M_beta_1,ref
0,3,Li,Lithium,,,,,,,https://www.bruker.com/fileadmin/user_upload/8-PDF-Docs/X-rayDiffraction_ElementalAnalysis/HH-XRF/Misc/Periodic_Table_and_X-ray_Energies.pdf
1,4,Be,Beryllium,0.108,,,,,,
2,5,B,Boron,0.183,,,,,,
3,6,C,Carbon,0.277,,,,,,
4,7,N,Nitrogen,0.392,,,,,,
5,8,O,Oxygen,0.525,,,,,,
6,9,F,Fluorine,0.677,,,,,,
7,10,Ne,Neon,0.849,,,,,,
8,11,Na,Sodium,1.04,,,,,,
9,12,Mg,Magnesium,1.254,1.302,,,,,
10,13,Al,Aluminium,1.486,1.557,,,,,
11,14,Si,Silicon,1.74,1.837,,,,,
12,15,P,Phosphorus,2.01,2.139,,,,,
13,16,S,Sulfur,2.309,2.465,,,,,
14,17,Cl,Chlorine,2.622,2.812,,,,,
15,18,Ar,Argon,2.958,3.19,,,,,
16,19,K,Potassium,3.314,3.59,,,,,
17,20,Ca,Calcium,3.692,4.013,0.341,0.345,,,
18,21,Sc,Scandium,4.093,4.464,0.395,0.4,,,
19,22,Ti,Titanium,4.512,4.933,0.452,0.458,,,
20,23,V,Vanadium,4.953,5.428,0.51,0.518,,,
21,24,Cr,Chromium,5.415,5.947,0.572,0.582,,,
22,25,Mn,Manganese,5.9,6.492,0.637,0.648,,,
23,26,Fe,Iron,6.405,7.059,0.705,0.718,,,
24,27,Co,Cobalt,6.931,7.649,0.775,0.79,,,
25,28,Ni,Nickel,7.48,8.267,0.849,0.866,,,
26,29,Cu,Copper,8.046,8.904,0.928,0.947,,,
27,30,Zn,Zinc,8.637,9.57,1.012,1.035,,,
28,31,Ga,Gallium,9.251,10.267,1.098,1.125,,,
29,32,Ge,Germanium,9.886,10.982,1.188,1.218,,,
30,33,As,Arsenic,10.543,11.726,1.282,1.317,,,
31,34,Se,Selenium,11.224,12.497,1.379,1.419,,,
32,35,Br,Bromine,11.924,13.292,1.481,1.526,,,
